"name","unit","calories","protein","carbs","fat"
"Adana Kebap","piece","600","40","2","45"
"Beyaz Peynir","gram","265","17","1.5","21"
"Tavuk Göğsü","gram","165","31","0","3.6"
"Kıyma (%15 yağ)","gram","250","26","0","15"
"Pilav","gram","130","2.7","28","0.3"
"Ekmek Beyaz","gram","265","9","49","3.2"
"Simit","piece","350","10","55","10"
"Zeytinyağı","gram","884","0","0","100"
"Yoğurt Tam Yağlı","gram","61","3.5","4.7","3.3"
"Süt Tam","gram","61","3.2","4.8","3.3"
"Yumurta","piece","78","6.3","0.6","5.3"
"Somon","gram","208","20","0","13"
"Patates (haşlanmış)","gram","87","1.9","20","0.1"
"Muz","gram","89","1.1","23","0.3"
"Elma","gram","52","0.3","14","0.2"
"Kuru Fasulye","gram","127","8.7","22.8","0.5"
"Mercimek","gram","116","9","20","0.4"
"Tereyağı","gram","717","0.9","0.1","81"
"Çiğ Köfte","piece","120","6","10","6"
"Döner","piece","500","35","20","30"
"Makarna","gram","131","5","25","1.1"
"Bulgur","gram","83","3.1","18.6","0.2"
"Kaşar Peyniri","gram","402","25","1.3","33"
"Fındık (kavrulmuş)","gram","628","14","17","61"
"Yulaf Ezmesi","gram","389","17","66","7"
"Çavdar Ekmeği","gram","259","9","48","3.3"
"Ton Balığı (konserve, suda)","gram","116","26","0","1"
"İnek Eti","gram","250","26","0","15"
"Kuzu Eti","gram","294","25","0","21"
"Balık (levrek, ızgara)","gram","124","22","0","4.5"
"İşlenmiş Sucuk","piece","350","20","2","30"
"Patates Kızartması","gram","312","3.4","41","15"
"Çikolata Sütlü","gram","535","7.6","59","30"
"Bal","gram","304","0.3","82","0"
"Portakal","gram","47","0.9","12","0.1"
"Avokado","gram","160","2","9","15"
"Salatalık","gram","16","0.7","3.6","0.1"
"Domates","gram","18","0.9","3.9","0.2"
"Çilek","gram","33","0.7","8","0.3"
"Fıstık Ezmesi","gram","588","25","20","50"
"Granola","gram","471","8","64","20"
